stock,tradeNumber,buyDate,buyPrice,stopLoss,profitTarget,sellDate,sellPrice,daysTraded,returnsPerShare,isProfitable,Open,High,Low,Close,Adj Close,Volume,EMA10,EMA50,EMA200,shortEMA,longEMA,MACD,signal,hist,histPast,EMA10Percent,EMA50Percent,EMA200Percent
PNC,4.0,2021-12-16,201.7899932861328,195.94000244140625,216.41497039794922,2021-12-20,192.5500030517578,2,-9.239990234375,False,201.05999755859375,204.88999938964844,199.91000366210938,201.7899932861328,201.7899932861328,1244300.0,200.07700835260763,201.36314184028637,186.05488568507266,200.26531491176053,201.55549986611283,-1.2901849543522985,-1.309339337682308,0.019154383330009406,-0.23451179712177028,0.9915110511397054,0.9978846748597628,0.9220223592616499
PNR,1.0,2021-06-30,67.11256408691406,62.22999954223633,79.3189754486084,2021-08-16,80.0819091796875,32,12.969345092773438,True,66.6500015258789,67.5999984741211,66.6500015258789,67.48999786376953,67.11256408691406,668200.0,66.3198985378817,65.79962189758686,57.80972228504247,66.35320128695228,66.54918308501095,-0.19598179805866778,-0.20578204161732275,0.00980024355865497,-0.08074517902884912,0.988189014086754,0.9804367154318991,0.8613844973971795
PNR,2.0,2021-10-18,72.27317810058594,69.3499984741211,79.58112716674805,2021-12-20,69.02999877929688,44,-3.2431793212890625,False,71.56999969482422,72.58999633789062,71.20999908447266,72.47000122070312,72.27317810058594,840000.0,71.66480764029527,73.53957387208357,66.47682039502938,71.84632435611535,73.07561988723502,-1.229295531119675,-1.241898326008524,0.012602794888848967,-0.12605162104278755,0.9915823480262073,1.0175223479135667,0.9197993244812135
PNW,1.0,2021-07-07,81.68379974365234,80.62000274658203,84.34329223632812,2021-07-16,84.45026397705078,7,2.7664642333984375,True,83.52999877929688,83.83000183105469,82.9800033569336,83.55999755859375,81.68379974365234,441900.0,81.17735111055663,81.86730655700738,78.5785006046144,81.26721422821016,81.9121143290314,-0.6449001008212321,-0.6852270083321306,0.04032690751089851,-0.043599353431184706,0.9937998889047143,1.0022465508941911,0.9619839044120955
POOL,1.0,2021-03-02,329.52288818359375,313.04674377441404,370.713249206543,2021-04-15,373.74139404296875,31,44.218505859375,True,332.1700134277344,334.6300048828125,327.0799865722656,330.70001220703125,329.52288818359375,515700.0,329.85025607130876,344.78112887434935,324.6418929997787,330.96080761209527,339.09101071559195,-8.130203103496683,-8.52905202289127,0.39884891939458633,-0.005448757225405387,1.0009934602404087,1.0463040390755936,0.9851876899637526
POOL,2.0,2021-10-11,445.5199890136719,423.24398956298825,501.209987640381,2021-10-22,503.0799865722656,9,57.55999755859375,True,446.989990234375,452.05999755859375,445.07000732421875,445.5199890136719,445.5199890136719,97500.0,446.87072835537583,462.41262462366456,422.2465838896136,448.19020617144247,457.30428745055684,-9.114081279114373,-9.273540539212698,0.15945926009832512,-0.2579257711422933,1.0030318265734706,1.0379166727117923,0.9477612549426058
PPG,1.0,2021-03-01,136.44561767578125,132.10000610351562,147.3096466064453,2021-03-18,148.27386474609375,13,11.8282470703125,True,136.02999877929688,138.8699951171875,136.02999877929688,137.85000610351562,136.44561767578125,959400.0,134.95486112573036,137.74971940150542,127.51770903361803,135.1227611924737,136.62333723180993,-1.500576039336238,-1.6909323884542737,0.19035634911803578,-0.016791488686132006,0.9890743537576033,1.0095576666216055,0.9345680074285896
PPG,2.0,2021-07-07,171.0575714111328,166.75,180.28021621704102,2021-07-19,164.55477905273438,8,-6.5027923583984375,False,168.58999633789062,172.52000427246094,168.58999633789062,172.3000030517578,171.0575714111328,941500.0,169.2619390081756,169.75814490886603,150.5099380959919,169.4867844805435,170.9695563517644,-1.4827718712209048,-1.5076689042916889,0.024897033070784058,-0.24743512765553466,0.9895027598711696,0.9924035721333629,0.8798788434464841
PPG,3.0,2021-08-02,162.12246704101562,154.01634368896484,182.38777542114258,2021-09-07,149.8538360595703,25,-12.268630981445312,False,164.8000030517578,166.85000610351562,163.0,163.3000030517578,162.12246704101562,849500.0,162.80427969217493,166.82647067207296,152.80991073316457,163.13315084655895,165.4333197435697,-2.3001688970107637,-2.329400051633648,0.029231154622884503,-0.044568581008741504,1.0042055408087691,1.0290151249047257,0.942558508528648
PPL,1.0,2021-03-04,26.356271743774414,26.149999618530273,26.871952056884766,2021-03-09,26.144601821899414,3,-0.211669921875,False,27.559999465942383,28.06999969482422,27.360000610351562,27.90999984741211,26.356271743774414,7980100.0,25.864007993269837,26.154041117616828,25.77552577203316,25.887126151259004,26.038925546147834,-0.15179939488882965,-0.153593546058182,0.0017941511693523593,-0.05766881386734801,0.98132270924772,0.992327039722325,0.9779655492481242
PRU,1.0,2021-07-22,97.29215240478516,94.73877391815185,117.96782159805299,2021-10-19,110.7118148803711,62,13.419662475585938,True,101.0,101.0,99.05000305175781,99.44999694824219,97.29215240478516,1546900.0,97.49751332413274,98.72421574553877,87.31515663333407,97.64475844179633,98.65833806057148,-1.0135796187751538,-1.0250491919148799,0.011469573139726075,-0.03084769749076366,1.0021107655064838,1.0147192071031124,0.8974532320968532
PSA,1.0,2021-01-20,219.0000762939453,212.22000122070312,235.95026397705078,2021-02-24,236.1614990234375,24,17.161422729492188,True,219.5399932861328,226.0,218.5800018310547,224.97999572753906,219.0000762939453,1326600.0,216.87687499304792,217.6933369997875,207.5357740351857,216.94139774207125,217.573777746858,-0.6323800047867678,-0.7599659902682581,0.12758598548149025,-0.10071882563098211,0.9903050202683601,0.9940331559866497,0.947651606096374
PSA,2.0,2021-10-11,300.3990478515625,293.4700012207031,317.72166442871094,2021-10-14,324.0451354980469,3,23.646087646484375,True,299.9800109863281,302.8299865722656,298.20001220703125,302.1000061035156,300.3990478515625,339900.0,299.44861964525603,305.7586705221039,277.7171503888167,300.0828128939723,304.325672295249,-4.242859401276689,-4.269146940192654,0.026287538915964248,-0.338767796866402,0.9968361144514143,1.0178416766260516,0.9244941100014615
PSX,1.0,2021-04-28,77.34773254394531,74.33000183105469,84.89205932617188,2021-05-17,85.65222930908203,13,8.304496765136719,True,78.51000213623047,80.55000305175781,78.4000015258789,80.0999984741211,77.34773254394531,2670500.0,75.21486152245242,76.18818756587493,69.06240903373156,75.3354662650253,76.36721593850838,-1.031749673483077,-1.1723682910206585,0.14061861753758165,-0.11165199581035434,0.9724249056650615,0.9850086752392956,0.8928821409792921
PTC,1.0,2021-03-26,135.42999267578125,123.40333302815755,155.73166529337564,2021-09-13,122.80999755859375,117,-12.6199951171875,False,128.4199981689453,135.60000610351562,128.4199981689453,135.42999267578125,135.42999267578125,905700.0,130.87394337373064,130.6589459072856,109.59375876488143,131.0434915700111,132.2475993498138,-1.2041077798027118,-1.2736534038439375,0.06954562404122577,-0.4560221594656573,0.9663586387916466,0.9647711214168231,0.8092281229553661
PVH,1.0,2021-02-09,93.7605209350586,89.07249488830566,105.48058605194095,2021-03-08,106.71644592285156,18,12.955924987792969,True,94.51000213623047,95.19000244140625,93.58000183105469,93.79000091552734,93.7605209350586,763200.0,92.07364793047675,90.49715282093798,72.02763598246744,92.21146380126868,93.05787176226511,-0.8464079609964301,-0.9097146510975411,0.06330669010111101,-0.14630145514829485,0.9820087069935307,0.9651946460879743,0.7682085729062447
PVH,2.0,2021-06-25,110.87513732910156,102.67711029052735,126.48340861002605,2021-07-15,100.81829833984375,13,-10.056838989257812,False,108.5,111.23999786376953,108.5,110.91000366210938,110.87513732910156,1716300.0,107.84314584183849,108.81078231161794,93.87147497384788,107.9971019119334,109.06000424191093,-1.0629023299775326,-1.1157640937319862,0.052861763754453506,-0.3119913150895208,0.9726540001635943,0.9813812630386544,0.8466413411982245
PWR,1.0,2021-06-25,92.20116424560547,84.89666748046875,105.42748896280925,2021-09-02,113.98094177246094,48,21.77977752685547,True,92.48999786376953,93.13999938964844,92.11000061035156,92.30999755859375,92.20116424560547,2015000.0,90.51609863651149,91.73560363625019,78.43401680556666,90.64049838112061,91.700314592557,-1.0598162114363987,-1.201475389534983,0.1416591780985843,-0.0666154850392251,0.9817240311130421,0.9949505994510534,0.8506835835243264
